id;long;lat;banco;red;ubicacion;localidad;terminales;no_vidente;dolares;calle;altura;calle2;barrio;comuna;codigo_postal;codigo_postal_argentino
11073;-58.3709017855;-34.605812942;NUEVO BANCO DE SANTA FE S.A.;LINK;25 De Mayo 168;CABA;1;False;False;25 De Mayo;168;;San Nicolas;Comuna 1;1002;C1002ABD
11059;-58.3709757834;-34.605083925;BANCO DE LA NACION ARGENTINA;LINK;25 De Mayo 230;CABA;1;False;False;25 De Mayo;230;;San Nicolas;Comuna 1;1002;C1002ABF
11033;-58.3709727798;-34.6045919138;BANCO DEL CHUBUT S.A.;LINK;25 De Mayo 267/73;CABA;1;False;False;25 De Mayo;267;;San Nicolas;Comuna 1;1002;C1002ABE
11069;-58.3709827792;-34.6044499105;BANCO DE SANTA CRUZ S.A.;LINK;25 De Mayo 279;CABA;1;False;False;25 De Mayo;279;;San Nicolas;Comuna 1;1002;C1002ABE
11046;-58.3709937785;-34.604295907;BANCO DE LA CIUDAD DE BUENOS AIRES;LINK;25 De Mayo 294 esquina Sarmiento;CABA;1;False;False;25 De Mayo;294;;San Nicolas;Comuna 1;1002;C1002ABF
11020;-58.3711237709;-34.6024568644;BANCO DE FORMOSA S.A.;LINK;25 De Mayo 454 piso -;CABA;1;False;False;25 De Mayo;454;;San Nicolas;Comuna 1;1002;C1002ABJ
10883;-58.4191961476;-34.6512727437;BANCO DE LA NACION ARGENTINA;LINK;Abraham Luppi 1090;CABA;3;False;False;Abraham Luppi;1090;;Nueva Pompeya;Comuna 4;1437;C1437FRD
11784;-58.41353123;-34.5564426089;BANCO DE LA NACION ARGENTINA;LINK;Aeroparque s/n;CABA;1;False;False;;0;;;;;
11697;-58.3652916646;-34.6220423397;CABAL COOP. LTDA.;LINK;Alicia M. De Justo 2036;CABA;2;False;False;Alicia M. De Justo;2036;;Puerto Madero;Comuna 1;1107;C1107AFP
11381;-58.3855564407;-34.6110359897;BANCO DE LA NACION ARGENTINA;LINK;Alsina 1356;CABA;4;False;False;Alsina;1356;;Monserrat;Comuna 1;;
11396;-58.387486523;-34.6111629832;BANCO DE LA PROVINCIA DE BUENOS AIRES;LINK;Alsina 1502;CABA;1;False;False;Alsina;1502;;Monserrat;Comuna 1;;
11386;-58.3715858447;-34.6100710358;BANCO DE LA NACION ARGENTINA;LINK;Alsina 365;CABA;3;False;False;Alsina;365;;Monserrat;Comuna 1;1087;C1087AAC
11393;-58.37544801;-34.6104190249;CABAL COOP. LTDA.;LINK;Alsina 637;CABA;2;False;False;Alsina;637;;Monserrat;Comuna 1;1087;C1087AAI
11206;-58.4385216005;-34.6008154975;BANCO DE LA CIUDAD DE BUENOS AIRES;LINK;Araoz 265, entre Camargo y Luis M. Drago;CABA;1;False;False;Araoz;265;;Villa Crespo;Comuna 15;1414;C1414DPE
11709;-58.3787580334;-34.5941286373;BANCO DE LA NACION ARGENTINA;LINK;Arenales 819, entre Esmeralda y Suipacha;CABA;1;False;False;Arenales;819;;Retiro;Comuna 1;1061;C1061AAC
11667;-58.4393097054;-34.6107987213;BANCO DE LA CIUDAD DE BUENOS AIRES;LINK;Av. Acoyte 702;CABA;1;False;False;Av. Acoyte;702;;Caballito;Comuna 6;1405;C1405BGS
11665;-58.4369096517;-34.6174268842;BANCO DE LA CIUDAD DE BUENOS AIRES;LINK;Av. Acoyte 71;CABA;5;False;False;Av. Acoyte;71;;Caballito;Comuna 6;1405;C1405BFA
11683;-58.4131658327;-34.6428425807;BANCO DE LA CIUDAD DE BUENOS AIRES;LINK;Av. Almafuerte 406;CABA;1;False;False;Av. Almafuerte;406;;Parque Patricios;Comuna 4;1437;C1437JLR
11678;-58.3593245017;-34.6344876529;BANCO DE LA NACION ARGENTINA;LINK;Av. Almirante Brown 1101;CABA;4;False;False;Av. Almirante Brown;1101;;Boca;Comuna 4;1159;C1159ABD
11679;-58.3661857484;-34.6285014828;BANCO DE LA CIUDAD DE BUENOS AIRES;LINK;Av. Almirante Brown 240;CABA;1;False;False;Av. Almirante Brown;240;;Boca;Comuna 4;1155;C1155ADP
11775;-58.5113778385;-34.6240036678;BANCO DE LA PROVINCIA DE BUENOS AIRES;LINK;Av. Alvarez Jonte 5269;CABA;2;False;False;Av. Alvarez Jonte;5269;;Monte Castro;Comuna 10;1407;C1407GPG
